age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
33,4,170113,9,4,5,3,4,1,2830,0,40,39,0
56,4,154471,2,0,1,5,4,0,0,756,40,39,0
51,4,180494,7,2,10,0,4,1,14784,0,60,39,1
58,4,328652,9,6,14,1,4,0,0,0,9,39,1
80,4,411411,9,2,5,0,1,1,0,0,49,39,0
36,4,201831,12,2,3,0,4,1,0,0,40,39,1
46,6,582138,2,2,10,0,4,1,0,0,40,39,0
55,5,290554,15,2,1,0,4,1,0,0,40,40,1
61,6,212850,15,2,13,4,4,1,0,0,40,39,0
60,4,379630,9,2,4,0,2,1,0,0,55,39,1
20,4,224419,11,4,10,1,4,0,0,0,40,39,0
22,4,144690,11,4,8,3,4,0,0,0,31,39,0
41,2,200940,11,0,12,1,4,0,0,0,40,39,0
47,4,224123,8,2,10,0,4,1,1594,0,63,39,1
25,4,363412,11,2,14,0,4,1,0,0,40,39,0
37,4,178150,9,0,8,1,2,0,0,0,40,39,0
55,5,131089,6,2,10,0,4,1,14987,0,83,39,1
29,0,304060,9,4,4,0,4,1,7237,0,40,39,1
21,4,120383,8,4,8,2,4,1,0,0,40,39,0
59,4,210164,15,0,10,1,4,1,4010,0,45,39,0
32,1,380802,11,5,13,1,4,0,14877,0,40,39,0
67,4,250168,11,6,12,1,4,0,0,0,31,39,0
39,0,291709,11,0,10,1,4,0,0,0,40,39,1
45,4,35395,11,2,3,0,4,1,0,0,40,39,0
32,4,357471,15,5,13,1,4,0,0,0,45,39,0
32,4,130415,8,0,10,1,4,1,0,0,9,9,1
53,6,187183,11,0,13,4,2,1,3415,0,40,39,0
28,4,248805,3,4,7,3,4,0,0,0,81,39,0
34,1,155680,9,4,12,1,4,1,0,0,40,39,0
45,5,196347,15,2,7,0,2,1,99486,0,40,39,1
49,4,92281,12,2,4,0,4,1,0,0,34,39,0
50,6,55731,12,2,10,0,4,1,0,0,49,39,1
29,4,99684,4,6,1,4,4,0,0,0,40,39,1
64,4,50715,4,6,7,4,1,0,0,1570,40,25,0
34,6,26387,9,0,6,1,4,0,0,0,40,39,0
35,4,298963,14,2,4,0,4,1,0,0,50,39,1
23,4,205157,11,4,10,1,4,1,2698,0,30,39,0
33,7,91277,15,6,1,4,4,0,0,0,15,39,0
32,4,108138,9,4,14,1,4,0,0,1884,40,39,1
35,4,136096,6,2,13,0,4,1,2575,0,45,39,1
51,4,439743,9,0,1,1,4,0,0,1636,40,39,0
26,7,231622,11,4,1,3,4,0,7303,0,40,39,0
55,4,174802,15,5,4,1,4,0,0,0,45,39,1
29,4,42450,11,2,3,0,4,1,0,1628,40,39,1
27,4,228986,11,0,3,0,4,1,0,0,21,39,0
25,4,114596,9,4,12,3,4,0,0,0,31,39,0
32,4,226732,11,4,3,3,4,1,0,0,40,39,0
22,4,217557,11,2,14,0,4,1,0,0,45,39,0
37,1,386770,5,5,8,3,2,1,0,0,9,39,0
45,4,168300,11,0,5,4,4,0,3491,0,49,39,1
41,4,31396,9,5,8,3,4,1,3239,0,59,39,1
41,4,715169,15,0,8,1,3,1,0,0,40,23,0
37,4,187034,0,6,14,4,4,0,0,0,31,39,0
49,4,260048,11,2,4,0,4,1,25049,0,40,39,0
28,4,294674,9,4,4,1,4,1,0,0,40,39,0
71,4,146535,0,2,1,5,4,1,0,0,40,39,1
24,1,286521,11,3,7,0,4,1,0,0,40,39,1
50,6,147002,6,2,10,0,4,1,0,0,40,39,1
50,4,193703,11,0,11,4,4,1,0,2311,49,39,0
64,6,195972,15,2,4,0,4,1,7331,0,40,39,0
55,4,233058,11,0,1,1,2,0,0,0,40,39,0
49,4,195287,15,2,12,5,4,0,0,0,40,39,0
41,4,201400,9,2,12,0,4,1,0,0,32,39,0
24,4,39053,5,4,12,1,4,0,0,0,40,33,0
30,6,172541,11,3,0,3,4,0,0,0,40,39,0
48,4,122301,11,1,3,0,4,1,0,0,40,39,1
70,5,184175,11,2,10,0,2,1,0,1977,68,39,1
37,6,157653,15,2,8,0,4,0,0,0,60,39,1
27,4,153802,11,4,7,3,4,0,0,0,29,39,0
35,7,51349,11,2,13,5,4,0,0,0,40,39,0
30,4,108745,9,2,10,5,1,0,0,0,59,0,0
22,4,163232,9,4,7,1,2,1,2971,0,60,2,0
49,5,177532,15,2,10,0,4,1,0,1660,40,39,1
65,4,329515,11,0,1,4,4,0,0,0,21,39,0
48,4,106612,1,2,11,0,4,1,0,0,40,39,0
60,7,103375,11,0,1,4,4,0,0,0,40,39,0
34,2,187178,15,4,1,1,4,1,0,0,36,39,0
31,4,258011,8,4,4,4,4,1,0,0,40,39,0
56,4,262083,12,2,1,5,4,0,2871,0,40,15,1
68,4,170259,4,5,1,4,4,0,0,0,40,39,0
44,4,202051,12,2,10,0,4,1,0,0,40,39,0
37,4,406361,12,2,12,0,1,0,0,0,40,4,1
25,4,153523,11,2,13,0,4,1,0,0,40,39,1
31,2,210678,9,5,1,1,4,0,0,0,40,39,1
37,2,249734,6,2,3,0,0,1,0,0,40,39,0
69,4,286308,9,0,10,2,1,1,0,2002,40,5,0
22,4,174690,15,4,4,3,4,0,0,0,6,39,1
29,4,213453,7,4,1,1,4,0,0,0,60,39,1
65,4,301884,15,2,10,0,4,1,0,0,60,39,0
39,4,152256,10,2,12,0,2,1,0,2307,50,39,1
23,1,305187,15,4,1,1,4,1,0,0,37,39,0
36,4,262085,15,4,0,3,4,1,0,0,31,39,0
25,8,155493,11,2,13,0,4,1,0,0,40,39,0
33,7,179942,15,4,3,0,4,1,3486,0,40,39,1
57,4,284328,7,3,1,1,4,1,14455,0,44,39,0
58,6,96996,12,2,10,0,4,1,0,0,50,39,1
44,3,15426,9,6,4,1,4,0,0,0,30,39,0
26,4,269392,11,4,3,2,4,1,0,0,40,8,0
25,4,167872,9,4,1,1,4,0,0,0,40,39,0
27,4,151648,15,4,10,3,4,1,0,0,17,10,0
21,4,186405,11,2,4,4,1,0,0,0,40,10,0
44,4,442714,11,0,3,0,4,1,0,0,45,39,1
34,1,183597,12,4,11,1,4,0,0,0,34,39,0
35,4,105228,6,2,7,0,4,1,0,1987,60,39,1
31,4,368631,9,4,11,1,4,1,0,0,40,39,0
20,4,264231,11,0,12,3,4,0,0,1987,65,39,0
48,4,151463,7,0,8,4,4,1,0,0,36,39,0
31,4,222993,14,2,13,0,4,1,0,0,66,39,0
69,6,39972,11,3,10,1,4,0,0,0,40,39,0
64,4,207829,1,2,5,0,4,1,0,0,40,39,1
55,4,355295,10,6,5,1,4,1,0,0,40,39,0
20,4,137124,15,4,3,3,4,1,0,0,10,39,0
55,6,109891,12,2,10,0,4,1,0,1642,50,35,1
26,4,153631,0,4,12,1,4,1,0,0,49,39,1
44,5,173621,9,2,7,0,4,1,0,0,36,0,0
45,4,130997,15,2,1,0,4,1,0,0,33,39,0
33,4,261144,14,2,5,0,4,1,3549,0,40,39,0
42,4,261940,1,4,0,4,0,1,0,0,40,39,0
37,7,216643,11,6,10,4,2,0,0,0,40,39,0
68,4,116925,5,0,9,4,4,0,3516,0,40,39,0
21,2,207784,1,4,0,4,4,1,0,0,36,39,0
22,4,221610,10,0,8,4,4,0,0,0,18,39,0
41,7,129377,15,2,10,0,4,1,0,1981,45,20,1
35,4,275423,11,2,7,0,4,1,0,0,34,39,0
26,4,46171,5,3,13,2,4,0,0,0,33,39,0
42,4,284500,9,0,13,1,4,1,0,0,31,39,0
47,4,50199,11,3,1,0,2,0,0,0,37,39,0
56,4,325291,15,0,1,1,4,1,0,0,34,39,0
24,4,226210,0,4,8,3,4,1,0,0,18,39,0
24,1,42479,9,4,10,3,1,0,0,0,22,5,0
33,4,30504,15,5,1,4,4,0,0,0,30,39,0
26,4,39132,15,2,3,0,4,1,0,0,40,39,0
38,6,221903,11,2,5,0,4,1,0,0,40,39,0
55,6,171759,12,2,10,0,4,1,3340,0,44,39,1
34,4,367157,9,0,7,1,4,1,0,0,40,2,1
55,2,496423,11,0,1,4,2,0,0,0,35,39,0
24,4,87533,9,0,4,1,4,0,0,0,35,27,1
24,4,156582,11,4,1,4,0,0,0,0,40,39,0
31,4,260503,2,4,3,1,4,0,0,0,49,39,0
24,4,159533,15,4,10,4,4,1,0,0,36,39,0
27,4,142982,9,4,7,3,4,0,0,0,40,39,0
23,7,128937,15,4,1,3,4,1,0,0,18,39,0
27,4,233234,5,2,8,5,4,1,4002,0,54,8,0
25,4,205811,11,2,10,0,4,1,14752,0,40,0,1
20,4,206156,11,4,8,5,2,0,0,0,40,39,0
68,1,72830,11,2,5,0,4,1,0,0,45,39,0
45,4,302268,11,2,7,0,4,1,0,0,40,6,0
49,4,33234,12,2,4,0,4,1,0,0,67,39,1
23,4,178900,9,4,12,3,4,1,0,0,55,39,0
57,4,234748,14,2,12,5,4,0,0,0,40,39,0
18,4,83124,11,4,13,1,1,0,14784,0,16,0,1
50,2,107867,2,0,1,1,4,0,96911,0,60,39,0
19,4,51443,15,4,13,4,4,0,0,0,40,39,0
29,4,271609,11,2,10,0,1,1,0,0,40,39,0
31,4,183070,0,5,3,1,4,0,0,0,40,26,0
51,4,46368,11,4,3,3,4,1,0,0,40,39,0
42,4,169045,2,4,1,1,4,1,0,0,40,22,0
33,4,265137,11,2,5,2,3,1,3205,0,34,26,0
54,4,220705,12,2,13,0,4,1,0,0,50,39,0
31,2,247330,11,4,12,5,4,1,0,0,21,39,0
32,4,331909,11,6,12,1,4,0,0,0,40,39,0
78,6,45062,8,2,10,0,4,1,6291,0,40,39,1
54,6,385382,0,2,10,5,2,0,0,2333,40,39,0
52,5,410348,14,3,7,1,4,0,0,0,34,39,0
24,7,204150,6,4,7,3,4,0,0,0,32,39,0
30,4,239318,12,0,4,1,4,0,0,0,48,39,1
58,4,203423,9,0,10,1,4,1,0,0,40,39,1
38,7,152116,8,0,7,4,4,0,0,0,40,26,0
53,4,71196,6,2,3,0,4,1,0,0,40,39,0
55,4,599449,11,2,10,0,4,1,0,0,45,39,1
22,4,192419,9,4,3,4,4,1,0,0,7,39,0
38,4,225019,15,2,1,0,1,1,0,0,40,39,0
24,4,403322,5,4,3,0,4,1,0,0,49,39,0
31,4,108900,11,2,10,5,4,0,0,0,40,39,1
45,4,279899,11,4,1,1,4,1,0,0,45,39,0
45,4,159523,6,4,13,1,4,1,0,0,50,39,0
20,4,103140,7,4,4,3,4,0,3201,0,59,39,0
28,4,164430,11,2,11,0,4,1,0,0,40,39,0
33,4,187252,15,6,8,1,4,0,0,0,40,39,0
69,4,65015,14,2,10,5,4,0,0,2365,36,5,0
29,6,206692,8,4,11,3,4,1,0,0,40,39,0
48,5,110959,6,2,10,0,4,1,0,0,40,39,0
35,4,350576,15,0,1,4,2,0,0,0,34,39,0
69,4,109187,11,0,13,4,2,0,0,0,40,39,0
34,4,37622,15,0,12,1,4,1,2636,0,7,13,0
65,2,215259,11,0,1,4,4,1,0,0,40,39,0
70,5,252130,10,2,4,5,4,1,14746,0,34,39,1
48,5,277662,12,2,10,0,4,1,99341,0,40,39,1
24,4,48871,11,4,14,3,4,1,0,0,37,39,0
30,4,244698,11,0,0,3,2,1,0,0,40,39,0
22,4,146066,11,4,8,1,4,1,0,1509,36,39,0
49,6,298756,0,0,4,4,2,0,0,0,40,39,0
29,4,269230,8,4,1,1,4,0,0,0,40,39,0
31,4,116892,7,4,10,1,4,1,0,0,40,20,0
27,2,330669,11,2,10,5,4,1,0,0,40,39,0
30,4,116092,0,2,10,0,4,1,0,0,67,39,0
34,4,212456,0,4,3,4,4,0,0,0,40,39,0
28,0,165365,11,0,10,1,4,1,3153,0,28,39,0
20,4,207445,11,4,8,3,4,1,3118,0,55,39,0
33,4,324923,1,4,3,1,4,1,0,0,40,39,1
19,4,275757,6,4,7,4,0,1,0,0,40,10,0
33,4,34146,0,4,8,3,4,1,0,0,20,39,0
22,4,126705,15,4,1,3,4,0,0,0,18,39,0
29,4,218893,15,2,12,0,4,1,0,1655,68,39,1
59,5,227965,11,2,1,0,4,1,0,0,79,39,1
44,4,220504,11,4,13,4,4,0,0,0,40,39,0
45,0,247868,14,2,10,0,4,1,0,895,55,39,1
43,4,262745,15,2,3,0,4,1,0,0,34,10,0
24,4,197186,11,4,13,3,2,1,0,0,40,39,0
21,4,213897,8,4,0,1,4,1,0,0,40,39,0
31,7,243868,11,0,10,4,4,0,0,0,31,39,1
32,4,215529,9,0,10,1,1,1,0,0,34,13,0
31,2,181866,15,2,12,0,4,1,0,0,21,39,1
32,4,225647,11,0,1,4,4,0,0,0,3,39,0
35,4,249110,11,2,14,0,4,1,0,0,68,39,0
41,4,121514,6,2,10,0,1,1,0,0,40,2,1
70,4,180349,4,0,9,2,4,0,3044,0,45,39,0
50,4,198226,15,0,10,4,1,0,0,0,38,27,0
59,6,217312,10,2,10,0,4,1,3564,0,68,39,1
54,6,171678,9,2,5,0,2,1,0,0,40,40,0
72,7,324680,11,2,0,4,4,0,0,0,32,39,0
26,4,435733,8,6,13,1,2,0,0,0,12,39,0
69,2,106963,8,2,1,5,4,0,0,0,70,25,0
21,4,241984,5,4,8,4,1,1,0,0,40,26,0
37,4,189455,9,0,10,1,4,1,0,0,40,39,1
40,4,163481,11,2,8,0,2,1,0,0,40,31,0
28,4,272819,11,2,7,0,2,0,0,0,19,39,0
24,4,54197,15,4,6,3,4,1,0,0,11,39,0
46,6,110395,11,6,12,4,4,1,0,0,40,39,0
40,5,272801,10,2,12,0,4,1,0,0,40,39,1
56,4,53689,11,3,7,4,4,0,0,0,35,39,0
34,1,257130,11,2,14,0,4,1,0,0,40,39,1
40,4,75163,1,3,5,1,4,1,0,0,40,39,1
22,4,95594,15,4,10,1,4,0,0,0,30,39,0
22,4,317426,5,4,11,0,4,1,3579,0,40,39,0
37,1,404776,11,6,1,1,2,0,0,0,12,39,0
30,4,409256,11,2,10,5,4,0,0,1991,25,39,1
21,4,328310,11,2,7,5,2,0,0,1559,27,39,0
26,4,57407,11,2,13,0,2,1,0,0,40,0,0
50,6,216021,15,2,10,0,4,1,0,0,40,39,0
72,4,248952,2,2,3,0,4,1,0,0,50,39,0
23,5,228833,4,4,12,1,4,0,0,0,32,39,1
21,7,62332,2,4,8,1,4,1,0,1501,40,39,0
22,4,165733,15,4,3,3,4,1,3036,0,3,39,0
37,4,47992,11,2,8,0,2,1,0,0,50,29,1
32,4,125791,15,0,7,4,4,0,0,0,40,31,0
39,4,207884,14,6,4,4,1,0,2973,0,40,16,0
44,4,192854,11,4,13,1,2,0,98654,0,40,39,0
34,4,107960,1,4,3,2,4,0,0,0,60,39,0
76,4,134467,11,2,1,1,4,1,0,0,45,39,0
43,4,42850,6,2,10,0,4,1,99466,1892,85,39,1
27,4,225787,7,2,4,0,2,1,0,0,40,39,1
42,4,347924,15,0,8,1,4,1,0,0,37,39,0
32,4,199335,11,2,3,0,4,1,3240,0,40,39,0
47,4,304352,15,2,12,0,4,1,0,0,50,39,1
40,4,47630,15,2,10,0,4,1,0,0,34,39,0
39,2,172164,11,2,5,0,4,1,0,0,40,39,0
34,6,248012,9,2,10,0,1,1,0,0,50,0,1
40,4,240332,9,2,10,0,4,1,0,0,60,39,1
42,4,84440,15,4,13,1,4,1,0,0,50,39,0
29,4,191802,11,3,7,2,4,1,0,0,33,39,0
45,4,201830,11,0,13,4,2,0,0,0,40,39,0
26,4,360976,15,4,12,3,4,1,3042,0,39,39,0
34,4,287856,11,5,10,1,4,1,0,0,40,39,1
18,4,216979,11,4,6,0,4,1,0,0,4,39,0
61,4,214615,12,2,3,0,4,1,0,0,40,39,1
47,6,238771,5,2,12,0,4,1,3605,0,50,39,1
34,4,128595,15,0,8,4,1,0,0,0,37,39,0
63,4,208936,11,2,10,0,4,1,0,1980,60,39,1
43,6,531652,9,5,4,1,4,0,0,0,36,39,0
25,4,261469,1,4,10,1,4,0,0,0,32,39,1
24,4,41526,9,4,7,3,4,1,0,0,30,39,0
65,4,538139,9,2,10,0,4,1,7389,0,79,39,1
34,4,256263,0,4,12,0,4,1,0,0,89,39,0
28,4,28121,7,4,12,2,4,1,0,0,40,39,0
21,4,287975,8,4,8,4,4,0,0,0,44,39,0
47,4,340018,12,3,4,5,4,0,0,0,40,39,1
55,4,410149,11,2,12,0,4,1,0,0,40,39,0
25,4,287727,15,3,1,4,4,0,0,0,17,39,0
40,4,230320,12,6,1,1,4,0,6459,0,40,39,1
22,2,164150,15,4,13,3,4,1,0,0,45,39,0
48,4,213707,9,2,10,0,4,1,0,0,60,39,1
51,4,138120,0,2,12,0,4,1,0,0,49,39,0
23,4,157285,9,4,4,1,4,1,3777,0,40,39,0
19,4,301665,2,4,7,3,4,0,0,0,40,39,0
25,4,169314,11,3,3,3,4,1,0,0,33,39,0
41,4,124239,7,2,3,0,4,1,0,0,40,39,1
37,4,165298,5,4,3,1,4,0,0,0,40,39,0
25,4,176700,15,4,5,3,4,1,0,0,45,39,0
48,4,220252,7,2,10,0,4,1,0,0,40,39,1
45,5,49628,11,2,4,0,4,1,0,0,40,39,0
46,4,250004,11,2,1,5,2,0,0,2263,40,8,0
39,4,154712,15,6,10,1,2,0,0,0,40,39,1
20,4,25453,11,4,13,4,4,1,3562,0,65,39,0
47,2,138988,9,6,0,1,4,0,0,0,35,39,0
22,0,127831,9,4,8,3,4,0,0,0,40,39,1
42,4,41001,9,6,1,2,2,0,0,0,40,39,0
28,4,236694,11,0,4,1,4,0,0,0,59,39,0
37,8,179548,10,0,12,1,2,1,0,0,9,39,0
19,4,151756,15,4,4,1,4,1,0,0,20,5,0
39,4,151249,15,2,12,0,4,1,0,0,55,39,1
53,2,33123,14,2,10,0,1,1,14870,1888,60,33,1
27,4,201114,11,2,5,0,4,1,2705,0,40,0,0
51,4,167620,9,0,13,1,4,1,14362,0,50,39,1
59,4,113163,9,2,10,1,4,1,0,0,45,39,1
21,4,213567,2,4,10,3,4,1,0,0,60,39,0
33,7,392663,6,2,3,0,4,1,3029,1979,60,39,0
33,4,189175,11,4,0,3,2,1,0,0,49,19,0
54,5,105522,10,2,10,0,4,1,0,0,50,39,1
46,4,114843,0,2,10,0,4,1,0,0,40,39,1
64,4,267492,9,0,10,4,4,1,0,0,40,39,0
63,4,43822,12,2,3,0,2,1,0,0,40,39,0
54,6,188050,15,0,12,4,4,1,94459,0,45,30,1
32,4,125297,15,0,1,1,4,0,0,0,40,39,0
46,4,236703,8,3,10,1,4,0,0,0,36,39,0
26,4,214395,15,4,13,3,4,1,0,0,40,39,0
34,5,166662,0,2,7,5,2,0,97447,0,49,36,1
56,7,182909,15,5,1,1,4,0,0,0,40,39,0
50,2,275899,14,2,8,0,4,1,7485,0,40,39,1
55,5,300058,15,2,12,0,4,1,0,0,40,39,1
28,4,131564,15,5,13,1,4,0,0,0,40,39,0
33,1,211955,11,2,14,0,4,1,0,0,50,39,0
31,4,86199,9,4,13,1,4,0,0,0,37,39,0
47,7,173749,15,2,11,0,4,1,0,0,40,39,0
29,4,108612,15,6,0,3,4,0,0,0,40,39,0
37,4,233854,15,2,12,0,2,1,0,0,50,39,0
26,4,100585,9,4,8,1,4,1,0,0,40,39,0
46,4,123463,15,2,8,0,2,1,0,1882,67,23,0
62,4,300499,11,0,6,0,2,1,0,0,40,39,0
52,4,126691,8,2,10,0,4,1,0,0,45,39,0
25,4,149586,8,4,7,1,4,1,0,0,40,39,0
56,4,394911,9,2,11,0,4,1,0,0,55,39,0
43,2,51071,11,0,10,1,2,0,0,0,40,39,0
49,4,192640,12,2,12,5,4,1,0,0,50,0,1
23,4,320959,1,4,11,3,4,1,0,0,40,26,0
48,5,150723,10,2,11,0,4,1,0,0,75,39,1
35,0,287272,9,5,4,1,4,1,7160,0,50,39,1
49,4,300106,11,0,10,2,4,0,0,0,32,39,0
55,4,205638,1,2,10,0,4,0,3144,0,20,39,1
69,6,305429,9,0,4,4,4,0,0,1890,40,39,0
19,4,189757,0,4,13,3,4,1,0,0,45,39,0
45,4,172603,10,0,5,4,4,0,0,0,40,39,0
32,4,193434,11,2,4,0,4,1,3110,0,50,4,0
48,4,275638,8,2,3,0,4,1,0,0,40,39,1
44,4,132796,15,2,14,0,4,1,0,1886,40,39,0
28,4,229116,11,4,5,4,4,0,0,0,40,39,0
36,4,148391,12,2,3,0,4,1,99637,0,40,39,1
51,6,376567,7,2,7,0,4,1,0,0,40,39,0
29,4,237342,11,4,1,3,4,0,0,0,15,39,0
22,4,223279,15,4,11,3,4,0,0,0,45,39,0
35,2,312104,11,6,9,4,1,1,0,0,40,39,0
44,4,397464,8,2,12,0,4,1,0,0,60,39,0
43,7,133806,1,2,6,0,4,1,0,0,45,39,1
35,4,364993,9,2,4,0,4,1,0,0,10,39,0
18,4,55102,7,4,7,3,1,1,0,0,18,26,0
20,4,202954,5,4,7,3,4,0,0,0,7,39,0
37,4,407500,15,2,1,5,1,1,0,0,40,30,1
57,4,280279,12,2,10,0,4,1,0,1974,40,32,1
27,4,125027,11,4,5,1,4,1,0,0,40,39,0
32,4,370622,13,3,7,4,2,0,0,0,40,4,0
33,6,250072,2,2,5,0,4,1,0,0,45,39,0
46,4,44795,9,5,4,1,4,1,2609,0,40,39,0
36,4,188651,6,2,7,0,1,1,0,0,40,4,0
42,5,253907,9,4,10,1,4,0,0,0,18,39,0
29,8,215431,0,4,11,3,4,1,0,0,30,39,0
50,1,45454,9,2,4,0,4,1,0,0,50,39,1
42,4,157802,9,4,1,1,4,1,0,0,20,39,0
26,4,238190,11,5,13,3,4,0,7299,0,45,39,1
53,4,294297,9,0,12,1,4,0,0,0,19,39,0
39,4,358861,5,5,7,1,4,0,0,0,9,39,0
47,4,155020,15,0,10,4,4,0,0,0,20,39,0
26,4,142850,8,4,3,1,4,1,0,0,40,39,0
41,5,351590,11,0,9,4,4,0,0,0,45,39,0
69,4,648693,5,2,4,0,1,0,3283,0,40,10,1
30,6,346068,7,4,3,3,1,1,0,0,20,10,0
75,4,186841,11,0,10,1,4,1,0,0,40,39,1
56,2,258086,11,0,10,1,4,0,0,0,49,39,1
33,4,151013,15,4,3,1,4,1,2821,0,20,39,1
32,4,201564,11,2,12,0,4,1,0,1882,40,39,0
43,4,127867,15,0,12,4,4,1,0,0,15,39,0
65,4,104415,15,2,10,0,4,1,0,0,40,39,1
43,5,123699,12,2,5,0,4,1,0,0,67,39,1
55,4,158231,9,2,10,0,4,1,0,0,68,39,1
34,2,105575,9,4,14,3,4,1,2686,0,40,4,0
50,5,268648,11,2,1,1,4,0,0,0,65,39,0
52,4,174565,9,4,10,1,4,1,14839,0,21,39,0
38,4,164913,6,6,7,4,4,0,0,0,19,33,0
33,0,323949,10,4,4,1,4,0,0,0,40,33,0
29,4,169681,15,5,8,4,2,0,0,1981,36,39,0
31,2,176591,12,0,11,1,4,1,0,0,40,39,0
47,5,161652,9,2,4,0,4,1,0,0,40,39,1
53,1,309131,9,2,10,0,4,1,0,0,40,39,1
59,4,306215,12,2,1,0,4,1,0,0,66,39,1
45,4,100878,5,3,7,4,0,1,0,0,40,11,0
51,4,469845,15,2,10,0,4,1,97986,0,69,39,1
22,4,78734,8,2,7,0,1,1,0,0,40,16,0
52,4,120976,11,4,3,1,4,1,0,0,39,39,0
