,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
178,3,8,0,2,3,0,0,5,3,1,10,4,4,16,0
179,0,3,0,11,4,5,6,4,0,0,10,11,2,7,0
180,1,5,0,7,5,4,3,4,3,1,8,19,0,17,0
181,8,8,0,11,3,4,10,5,4,0,1,18,4,8,1
182,6,8,0,10,0,6,8,1,2,0,6,16,3,19,0
183,6,7,0,0,2,4,9,0,4,1,13,2,0,7,0
184,1,1,0,7,2,0,12,4,0,1,4,17,0,4,0
185,6,0,0,6,4,3,11,4,1,1,13,2,4,29,0
186,8,1,0,9,0,6,13,4,0,1,7,7,3,16,1
187,9,5,0,1,6,0,13,1,1,1,13,0,3,26,0
188,5,8,0,6,0,4,3,0,3,1,16,10,2,2,1
189,6,2,0,6,6,0,1,4,4,0,12,19,3,16,0
190,10,5,0,13,6,0,11,5,1,0,14,3,5,16,1
191,0,8,0,5,1,0,10,0,2,1,2,9,1,20,0
192,8,7,0,8,0,4,0,3,1,0,15,3,0,32,0
193,4,0,0,1,1,2,8,1,2,1,0,0,1,13,0
194,9,2,0,0,6,5,13,1,0,1,4,16,1,37,0
195,1,3,0,14,0,2,6,1,3,0,0,16,0,26,0
196,10,1,0,0,3,2,4,4,3,0,10,6,2,29,0
197,7,6,0,11,0,5,14,5,2,0,13,16,0,3,0
198,0,1,0,5,1,6,1,4,1,1,2,0,2,21,0
199,2,8,0,2,0,5,9,0,2,0,17,6,5,7,0
200,0,7,0,7,6,2,4,3,2,0,13,6,1,34,0
201,0,3,0,4,2,4,12,0,0,0,13,2,0,33,0
202,4,4,0,7,0,5,2,2,0,0,17,20,1,31,0
203,7,0,0,8,0,1,5,3,2,1,2,5,3,11,0
204,2,8,0,7,5,1,1,0,4,0,4,4,4,10,0
205,1,7,0,13,0,4,3,3,2,1,2,4,5,6,0
206,3,4,0,8,4,3,2,1,0,1,13,2,4,14,0
207,3,6,0,9,0,5,12,3,3,0,11,18,1,36,0
208,4,2,0,9,3,6,12,2,0,0,17,9,2,38,0
209,1,6,0,12,0,4,14,4,0,0,0,9,2,24,0
210,4,4,0,13,0,4,9,0,2,0,13,9,1,3,0
211,9,4,0,3,4,3,8,5,0,0,5,15,3,16,1
212,3,4,0,6,1,4,2,3,0,1,4,11,2,13,0
213,6,2,0,13,1,2,0,3,0,0,7,8,5,18,0
214,0,6,0,15,2,4,6,5,1,0,0,0,5,37,0
215,8,1,0,13,5,2,14,5,3,1,3,11,3,39,1
216,10,2,0,10,5,2,3,5,2,0,3,4,3,24,1
217,9,8,0,0,1,4,3,4,3,1,4,15,2,14,0
218,0,4,0,11,1,2,0,1,3,0,8,8,1,19,0
219,1,3,0,13,0,1,6,5,3,1,2,6,4,20,0
220,4,8,0,9,1,6,10,2,2,0,13,15,2,32,0
221,3,0,0,7,5,6,13,0,3,1,8,1,1,5,0
222,0,5,0,12,3,0,8,2,0,1,2,11,3,31,0
223,0,7,0,6,3,6,5,3,3,0,13,1,3,33,0
224,10,2,0,8,2,2,0,0,4,1,5,10,0,37,1
225,5,1,0,12,3,1,12,1,3,1,18,10,3,24,1
226,7,2,0,9,0,6,14,5,1,0,12,11,4,35,0
227,2,3,0,2,5,5,2,4,4,1,2,2,3,10,0
228,9,4,0,7,6,3,5,2,4,1,9,0,5,19,0
229,2,5,0,6,1,5,7,4,0,1,8,16,3,8,0
230,0,0,0,7,5,1,11,3,4,1,2,2,0,28,0
231,2,8,0,11,5,5,1,1,3,0,11,14,5,18,0
232,6,3,0,6,1,1,9,4,2,1,2,13,4,37,0
233,3,2,0,10,5,3,3,0,0,1,13,6,2,8,0
234,2,3,0,6,3,4,8,4,2,0,13,2,0,26,0
235,6,8,0,8,1,5,2,4,2,0,13,12,0,11,0
236,9,1,0,13,6,0,9,3,2,0,0,4,4,23,0
237,1,0,0,2,6,0,3,3,4,1,14,15,4,2,0
238,8,2,0,7,2,3,0,5,2,1,3,0,2,21,1
239,9,5,0,12,1,3,10,2,0,0,13,13,1,25,0
240,10,3,0,10,6,6,9,4,0,0,8,6,4,37,0
241,5,2,0,4,0,0,8,1,1,0,15,0,0,6,0
242,6,1,0,9,6,5,4,2,0,0,13,2,0,6,0
243,3,1,0,11,2,1,0,4,1,0,8,4,5,18,0
244,3,2,0,1,3,6,8,4,1,1,6,18,5,17,0
245,8,6,0,8,6,1,2,0,2,0,9,5,4,10,1
246,0,5,0,11,3,3,14,4,2,1,8,14,5,39,0
247,3,1,0,6,6,4,1,3,0,1,15,15,0,18,0
248,8,8,0,15,1,3,11,3,4,1,18,7,4,31,1
249,0,7,0,5,5,4,5,4,1,1,2,3,0,21,0
250,1,4,0,1,3,5,5,2,0,1,7,16,0,22,0
251,10,8,0,4,6,5,5,2,0,0,13,4,3,6,0
252,6,3,0,6,6,5,13,4,1,0,13,11,1,10,0
253,6,7,0,0,5,0,13,2,0,0,7,6,3,32,0
254,7,0,0,8,4,0,9,3,0,0,7,10,4,0,1
255,6,6,0,10,1,3,8,0,0,0,4,11,0,20,0
256,5,7,0,7,5,5,14,1,2,0,8,6,4,33,0
257,1,1,0,0,4,4,8,3,4,0,17,6,5,31,0
258,1,5,0,15,0,4,11,1,0,0,13,15,3,40,0
259,8,8,0,7,0,2,11,0,0,1,3,5,1,35,1
260,8,7,0,5,2,0,4,4,1,1,2,11,4,37,0
261,0,6,0,5,2,4,6,3,0,0,12,2,2,35,0
262,10,0,0,13,6,2,1,1,1,0,12,9,0,36,0
263,2,7,0,13,0,2,13,4,4,1,0,18,1,0,0
264,8,0,0,0,3,1,10,5,4,1,7,14,3,26,1
265,3,0,0,0,0,6,8,3,4,1,4,2,1,25,0
266,1,0,0,7,6,4,11,2,1,0,15,16,0,41,0
267,1,5,0,15,4,4,0,2,2,1,2,0,1,25,0
268,9,8,0,6,5,3,7,5,0,0,2,2,0,0,0
269,8,2,0,10,5,4,1,2,3,0,3,6,2,0,1
270,3,1,0,7,1,5,0,1,2,0,13,11,3,19,0
271,3,2,0,10,2,1,10,5,0,0,9,4,2,17,1
272,1,2,0,6,6,4,6,4,4,1,8,7,5,18,0
273,3,2,0,3,0,3,0,5,3,1,11,18,2,18,0
274,0,8,0,7,1,5,5,3,3,1,4,6,2,5,0
275,5,8,0,6,1,1,10,2,2,0,0,14,1,7,0
276,7,5,0,6,5,5,3,4,3,0,17,19,4,31,0
277,2,0,0,14,6,3,8,2,0,1,2,11,4,37,0
278,3,6,0,6,1,0,4,2,4,0,10,3,3,39,0
279,0,2,0,12,2,5,7,4,1,1,8,9,0,10,0
280,2,7,0,1,6,1,7,1,3,0,2,11,3,0,0
281,3,7,0,12,0,3,6,5,0,0,4,16,0,12,0
282,1,0,0,1,6,3,14,5,4,0,6,11,2,35,0
283,4,6,0,9,1,2,4,5,2,1,18,7,2,35,1
284,2,8,0,6,3,5,9,1,3,0,3,19,5,32,1
285,2,7,0,3,5,1,6,3,2,0,13,6,3,16,0
286,9,3,0,13,4,2,14,1,2,1,13,3,0,7,0
287,0,7,0,7,5,0,8,0,3,1,13,11,5,1,0
288,6,6,0,15,5,5,11,0,1,1,1,5,3,36,1
289,6,2,0,14,0,3,11,3,4,0,4,18,0,31,0
290,1,2,0,4,4,4,9,4,3,1,12,13,3,28,0
291,7,7,0,3,6,1,3,3,0,1,11,19,0,41,1
292,3,3,0,2,0,4,6,4,1,1,2,6,0,39,0
293,4,4,0,11,1,3,0,4,1,0,9,20,2,9,0
294,6,6,0,5,2,1,0,0,1,1,6,6,4,19,0
295,0,5,0,1,2,6,6,1,2,1,4,11,0,31,0
296,0,8,0,5,6,0,9,3,3,1,13,18,2,16,0
297,2,2,0,2,0,0,6,2,2,0,13,0,0,3,0
298,4,0,0,7,2,6,8,4,0,1,8,4,2,2,0
299,6,8,0,8,6,0,12,2,4,1,8,20,0,24,0
300,6,3,0,0,2,3,8,1,0,1,2,4,0,32,0
301,7,0,0,12,4,1,12,0,2,0,1,14,5,22,1
302,8,8,0,15,1,6,1,0,1,1,0,4,0,29,0
303,8,1,0,7,3,6,8,0,1,1,17,7,4,37,1
304,4,4,0,3,0,4,5,3,4,0,10,2,0,3,0
305,2,3,0,0,0,6,12,2,0,0,11,0,5,40,0
306,10,6,0,0,0,0,12,1,1,0,6,12,5,41,0
307,2,8,0,9,0,1,5,2,0,0,0,11,2,35,0
308,8,1,0,15,0,3,5,3,2,1,16,14,5,1,1
309,8,6,0,2,1,0,9,2,3,0,10,13,1,30,0
310,2,7,0,0,1,6,5,3,3,0,8,3,0,19,0
311,1,4,0,2,6,0,13,4,1,1,10,0,1,0,0
312,1,8,0,13,6,5,9,3,2,0,2,11,3,35,0
313,3,2,0,9,4,5,12,4,0,1,8,9,3,2,0
314,5,1,0,13,5,3,2,1,0,1,2,12,4,4,0
315,9,3,0,6,4,4,14,0,2,0,14,13,3,8,0
316,9,3,0,14,4,0,1,0,2,0,9,5,1,39,1
317,7,0,0,7,1,1,6,5,0,1,7,7,2,26,1
318,7,5,0,7,2,0,11,5,4,1,18,14,5,30,1
319,7,7,0,15,3,3,1,1,0,1,18,17,0,6,1
320,2,2,0,3,0,6,5,1,0,1,17,15,0,3,0
321,8,2,0,3,0,6,5,4,0,0,16,14,5,32,1
322,2,0,0,11,6,5,10,4,0,1,4,15,0,25,0
323,3,7,0,7,0,3,1,2,1,0,13,1,1,29,0
324,7,2,0,5,5,0,0,0,4,0,18,18,0,5,1
325,6,2,0,5,6,5,0,1,4,1,2,11,2,10,0
326,1,7,0,2,5,5,5,3,3,0,15,3,1,23,0
327,9,6,0,13,6,2,5,1,3,0,0,15,5,23,0
328,3,1,0,3,5,5,1,1,0,0,13,13,0,21,0
329,8,4,0,13,2,0,12,4,3,0,16,10,1,29,1
330,10,0,0,3,1,5,2,2,0,0,0,7,3,11,0
331,9,7,0,5,6,0,13,4,3,1,2,9,1,6,0
332,0,8,0,3,5,0,0,3,2,0,12,10,2,38,0
333,1,3,0,8,0,3,6,2,1,0,2,11,4,39,0
334,3,7,0,2,0,1,1,1,2,0,2,3,1,34,0
335,1,3,0,5,6,0,8,5,3,1,2,13,0,2,0
336,7,7,0,8,2,4,3,0,2,1,8,9,2,40,0
337,7,0,0,8,3,2,12,1,0,1,11,17,1,27,1
338,2,5,0,7,0,4,2,5,4,1,8,16,2,30,0
339,10,5,0,2,3,2,0,2,0,1,11,8,1,17,1
340,0,4,0,3,5,0,14,3,2,1,16,9,0,3,0
341,10,0,0,6,3,5,3,2,4,0,4,4,3,41,0
342,2,7,0,2,0,4,12,3,1,1,8,4,0,14,0
343,6,6,0,6,6,3,6,2,4,1,9,0,1,7,0
344,9,4,0,13,0,3,6,4,3,1,2,12,2,27,0
345,5,3,0,1,1,3,9,1,3,0,6,18,0,9,0
346,4,7,0,3,0,0,9,5,0,0,13,0,0,18,0
347,9,4,0,8,1,6,9,3,1,1,2,20,4,25,0
348,5,2,0,9,0,0,8,1,0,0,2,9,5,27,0
349,5,7,0,1,0,6,5,5,0,0,2,14,5,3,0
350,10,2,0,1,5,6,11,1,3,1,8,15,1,18,0
351,2,2,0,11,0,4,10,5,2,1,7,19,5,6,1
352,2,5,0,13,0,5,4,3,4,0,2,13,1,31,0
353,6,3,0,9,0,4,5,3,1,1,2,11,4,28,0
354,1,0,0,13,1,4,0,4,0,0,17,19,3,25,0
355,2,2,0,4,5,1,14,3,4,1,8,11,1,32,0
356,2,3,0,5,2,1,9,4,2,0,5,5,4,30,1
357,6,6,0,5,1,3,9,0,0,0,4,18,0,41,0
358,10,4,0,9,0,0,7,1,2,1,13,0,1,30,0
359,3,2,0,1,2,0,14,1,0,1,13,11,1,38,0
360,3,4,0,8,0,4,14,1,0,1,0,2,1,9,0
361,0,1,0,4,1,2,1,2,3,1,5,6,4,29,0
362,1,4,0,5,3,1,7,4,1,0,16,0,0,6,0
363,10,6,0,10,0,0,4,1,0,1,2,16,3,14,0
364,3,4,0,11,4,6,8,2,3,1,14,17,4,0,1
365,5,1,0,9,0,5,7,3,0,1,13,11,4,39,0
366,6,2,0,7,0,0,13,0,3,0,2,16,1,24,0
367,1,4,0,5,3,0,5,1,3,0,11,2,4,4,0
368,8,0,0,6,4,6,5,0,0,0,9,8,2,32,1
369,1,6,0,11,0,2,11,5,4,1,13,11,4,19,0
370,0,7,0,0,6,5,0,2,2,0,13,9,0,36,0
371,3,0,0,3,4,4,4,1,0,1,18,18,1,4,0
372,5,4,0,12,2,0,14,4,2,0,8,15,2,3,0
373,5,7,0,11,3,0,5,2,1,1,18,19,1,20,1
374,8,8,0,13,6,4,10,3,1,0,16,11,2,4,0
375,8,1,0,0,3,1,4,4,1,1,6,2,4,38,1
376,1,7,0,10,1,4,8,3,0,1,18,5,5,28,1
377,0,0,0,3,2,3,0,5,4,0,2,20,4,39,0
378,8,2,0,15,4,4,6,5,3,1,15,7,5,21,1
379,9,7,0,7,1,0,0,0,4,1,3,10,4,14,1
380,0,2,0,1,1,6,6,0,0,1,2,12,1,8,0
381,7,2,0,15,1,2,8,3,0,0,18,6,0,21,1
382,2,4,0,6,0,1,9,4,2,0,13,9,0,13,0
383,2,8,0,14,5,4,1,1,0,0,13,9,2,0,0
384,5,6,0,7,0,5,8,1,0,1,11,15,1,21,0
385,10,8,0,10,6,5,4,1,1,1,2,2,3,23,0
386,8,4,0,9,3,1,14,1,0,0,5,8,3,21,1
387,6,6,0,1,0,4,5,1,2,0,4,11,5,12,0
388,10,6,0,2,1,1,6,3,1,0,10,11,5,13,0
389,8,6,0,13,3,4,14,5,0,1,4,20,1,1,0
390,2,6,0,10,2,5,9,0,0,0,15,2,2,14,0
391,10,7,0,14,5,2,12,0,1,1,9,8,1,20,1
392,6,5,0,14,0,5,1,5,3,1,16,3,0,19,1
393,5,3,0,13,0,4,11,4,1,1,13,0,5,29,0
394,1,2,0,1,6,6,14,1,1,0,3,5,5,20,1
395,0,8,0,1,1,3,5,0,0,0,13,9,0,32,0
396,9,4,0,14,1,1,4,0,1,1,18,1,4,8,1
397,3,4,0,1,0,5,9,0,3,1,5,11,0,2,0
398,10,8,0,10,2,5,7,5,0,1,14,14,5,28,1
399,7,5,0,11,3,4,7,2,0,0,13,11,0,36,0
400,0,6,0,2,4,0,0,2,0,1,4,4,4,26,0
401,3,3,0,15,5,5,3,1,3,0,6,11,1,18,0
402,1,3,0,7,5,3,2,1,3,0,0,18,0,14,0
403,9,3,0,10,5,4,9,4,3,1,13,11,3,1,0
404,3,8,0,3,0,6,3,0,3,1,16,18,2,13,0
405,6,2,0,6,0,2,14,0,2,1,7,0,2,6,0
406,0,3,0,6,5,3,6,2,3,0,6,11,4,14,0
407,0,5,0,8,0,3,5,0,3,0,4,2,1,27,0
408,4,4,0,1,0,3,5,0,3,1,13,2,0,22,0
409,0,6,0,7,5,0,7,3,0,1,8,11,1,32,0
410,6,7,0,7,0,5,5,5,3,1,13,11,4,35,0
411,2,2,0,10,1,3,7,0,0,0,16,1,0,22,1
412,1,0,0,11,3,5,3,0,0,1,2,9,0,35,0
413,9,0,0,5,2,0,13,0,4,0,7,6,5,2,1
414,9,8,0,9,3,1,5,0,0,0,17,18,2,7,0
415,7,0,0,3,1,5,4,1,3,0,0,15,4,11,0
416,2,8,0,13,0,0,10,3,4,0,17,0,5,10,0
417,7,8,0,1,6,0,11,1,4,1,0,6,4,20,1
418,9,7,0,13,3,3,5,4,2,1,17,4,0,23,0
419,2,4,0,15,4,4,6,0,2,1,2,2,3,13,0
420,2,7,0,12,4,4,9,5,3,1,13,20,0,30,0
421,4,7,0,0,6,3,0,1,3,0,12,13,4,21,0
422,2,1,0,11,0,0,14,0,2,0,13,14,1,41,0
423,8,1,0,10,5,1,3,4,1,0,18,16,2,23,1
424,1,1,0,15,3,4,11,4,2,1,4,15,0,9,0
425,8,2,0,6,2,2,7,3,1,1,12,8,0,2,1
426,7,7,0,11,2,5,9,3,2,0,13,13,0,1,0
427,2,7,0,3,0,3,9,0,1,0,10,2,5,35,0
428,8,5,0,9,5,0,8,1,0,0,3,12,5,30,0
429,4,7,0,5,2,5,6,3,4,1,1,5,2,5,0
430,0,3,0,1,4,5,5,3,2,0,2,6,3,3,0
431,0,2,0,0,6,3,9,1,0,1,0,15,4,0,0
432,4,2,0,12,3,5,1,1,4,0,13,15,4,13,0
433,1,7,0,12,4,6,9,3,2,0,2,11,3,40,0
434,4,1,0,5,2,1,7,3,0,0,7,20,4,36,0
