V1,V2,V3,V4,Class
14,5,1250.0,28,2
14,3,750.0,19,2
14,4,1000.0,23,2
16,12,3000.0,50,1
11,4,1000.0,28,1
11,5,1250.0,35,1
11,5,1250.0,35,1
2,4,1000.0,70,1
14,5,1250.0,28,1
14,2,500.0,14,1
14,2,500.0,14,1
14,2,500.0,14,1
14,2,500.0,14,1
14,2,500.0,14,1
14,2,500.0,14,1
2,3,750.0,52,1
14,6,1500.0,34,1
11,5,1250.0,37,2
4,5,1250.0,74,1
11,3,750.0,23,1
16,4,1000.0,23,1
16,3,750.0,19,1
11,5,1250.0,38,1
11,2,500.0,16,1
12,9,2250.0,60,1
9,1,250.0,9,1
9,1,250.0,9,1
4,2,500.0,29,1
11,2,500.0,17,1
14,4,1000.0,26,1
11,9,2250.0,72,2
11,5,1250.0,41,1
15,16,4000.0,82,1
9,5,1250.0,51,2
11,4,1000.0,34,1
14,8,2000.0,50,2
16,7,1750.0,38,1
14,2,500.0,16,1
2,2,500.0,41,1
14,16,4000.0,98,1
14,4,1000.0,28,2
16,7,1750.0,39,1
14,7,1750.0,47,1
16,6,1500.0,35,1
16,6,1500.0,35,2
11,7,1750.0,62,2
16,2,500.0,16,1
16,3,750.0,21,2
11,3,750.0,28,1
11,7,1750.0,64,1
11,1,250.0,11,2
9,3,750.0,34,1
14,4,1000.0,30,1
23,38,9500.0,98,1
11,6,1500.0,58,1
11,1,250.0,11,1
11,1,250.0,11,1
11,1,250.0,11,1
11,1,250.0,11,1
11,1,250.0,11,1
11,1,250.0,11,1
11,1,250.0,11,1
11,1,250.0,11,1
11,2,500.0,21,1
11,5,1250.0,50,1
11,2,500.0,21,1
16,4,1000.0,28,1
4,2,500.0,41,1
16,6,1500.0,40,1
14,3,750.0,26,1
9,2,500.0,26,1
21,16,4000.0,64,1
14,6,1500.0,51,1
11,2,500.0,24,1
4,3,750.0,71,1
21,13,3250.0,57,1
11,6,1500.0,71,1
14,2,500.0,21,2
23,15,3750.0,57,1
14,4,1000.0,38,1
11,2,500.0,26,1
16,5,1250.0,40,2
4,2,500.0,51,2
14,3,750.0,31,1
4,2,500.0,52,1
9,4,1000.0,65,1
14,4,1000.0,40,1
11,3,750.0,40,2
14,5,1250.0,50,1
14,1,250.0,14,1
14,1,250.0,14,1
14,1,250.0,14,1
14,1,250.0,14,1
14,1,250.0,14,1
14,1,250.0,14,1
14,1,250.0,14,1
14,1,250.0,14,1
14,7,1750.0,72,1
14,1,250.0,14,1
14,1,250.0,14,1
9,3,750.0,52,1
14,7,1750.0,73,1
11,4,1000.0,58,1
11,4,1000.0,59,1
4,2,500.0,59,1
11,4,1000.0,61,1
16,4,1000.0,40,1
16,10,2500.0,89,1
21,2,500.0,21,2
21,3,750.0,26,1
16,8,2000.0,76,1
21,3,750.0,26,2
18,2,500.0,23,1
23,5,1250.0,33,1
23,8,2000.0,46,1
16,3,750.0,34,1
14,5,1250.0,64,1
14,3,750.0,41,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
16,4,1000.0,45,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
16,2,500.0,26,1
21,2,500.0,23,1
16,2,500.0,27,1
21,2,500.0,23,1
21,2,500.0,23,1
14,4,1000.0,57,1
16,5,1250.0,60,1
23,2,500.0,23,1
14,5,1250.0,74,1
23,3,750.0,28,1
16,3,750.0,40,1
9,2,500.0,52,1
9,2,500.0,52,1
16,7,1750.0,87,2
14,4,1000.0,64,1
14,2,500.0,35,1
16,7,1750.0,93,1
21,2,500.0,25,1
14,3,750.0,52,1
23,14,3500.0,93,1
18,8,2000.0,95,1
16,3,750.0,46,1
11,3,750.0,76,1
11,2,500.0,52,1
11,3,750.0,76,1
23,12,3000.0,86,1
21,3,750.0,35,1
23,2,500.0,26,1
23,2,500.0,26,1
23,8,2000.0,64,1
16,3,750.0,50,1
23,3,750.0,33,1
21,3,750.0,38,1
23,2,500.0,28,1
21,1,250.0,21,1
21,1,250.0,21,1
21,1,250.0,21,1
21,1,250.0,21,1
21,1,250.0,21,1
21,1,250.0,21,1
21,1,250.0,21,1
21,1,250.0,21,1
21,1,250.0,21,1
21,1,250.0,21,2
21,1,250.0,21,1
21,1,250.0,21,1
21,5,1250.0,60,1
23,4,1000.0,45,1
21,4,1000.0,52,1
22,1,250.0,22,2
11,2,500.0,70,1
23,5,1250.0,58,1
23,3,750.0,40,1
23,3,750.0,41,1
14,3,750.0,83,1
21,2,500.0,35,1
26,5,1250.0,49,2
23,6,1500.0,70,1
23,1,250.0,23,1
23,1,250.0,23,1
23,1,250.0,23,1
23,1,250.0,23,1
23,1,250.0,23,1
23,1,250.0,23,1
23,1,250.0,23,1
23,1,250.0,23,1
23,4,1000.0,53,1
21,6,1500.0,86,1
23,3,750.0,48,1
21,2,500.0,41,1
21,3,750.0,64,1
16,2,500.0,70,1
21,3,750.0,70,1
23,4,1000.0,87,1
23,3,750.0,89,1
23,2,500.0,87,1
35,3,750.0,64,1
38,1,250.0,38,1
38,1,250.0,38,1
40,1,250.0,40,1
74,1,250.0,74,1
2,43,10750.0,86,2
6,22,5500.0,28,2
2,34,8500.0,77,2
2,44,11000.0,98,1
0,26,6500.0,76,2
2,41,10250.0,98,2
3,21,5250.0,42,2
2,11,2750.0,23,1
2,21,5250.0,52,2
2,13,3250.0,32,2
4,4,1000.0,4,2
2,11,2750.0,26,1
2,11,2750.0,28,1
3,14,3500.0,35,1
4,16,4000.0,38,2
4,6,1500.0,14,1
3,5,1250.0,12,2
4,33,8250.0,98,2
3,10,2500.0,33,2
4,10,2500.0,28,2
2,11,2750.0,40,2
2,11,2750.0,41,2
4,13,3250.0,39,2
1,10,2500.0,43,2
4,9,2250.0,28,1
2,4,1000.0,11,1
2,5,1250.0,16,2
2,15,3750.0,64,1
5,24,6000.0,79,1
2,6,1500.0,22,2
4,5,1250.0,16,2
2,4,1000.0,14,2
4,8,2000.0,28,1
2,4,1000.0,14,1
2,6,1500.0,26,1
4,5,1250.0,16,2
2,7,1750.0,32,2
2,6,1500.0,26,2
2,8,2000.0,38,2
2,2,500.0,4,2
2,6,1500.0,28,2
2,10,2500.0,52,1
4,16,4000.0,70,2
4,2,500.0,4,2
1,14,3500.0,95,1
4,2,500.0,4,2
7,14,3500.0,48,1
2,3,750.0,11,1
2,12,3000.0,70,2
4,7,1750.0,32,2
4,4,1000.0,16,1
2,6,1500.0,35,2
4,6,1500.0,28,2
2,3,750.0,14,1
2,4,1000.0,23,1
4,4,1000.0,18,1
5,6,1500.0,28,1
4,6,1500.0,30,1
14,5,1250.0,14,1
3,8,2000.0,50,1
4,11,2750.0,64,2
4,9,2250.0,52,1
4,16,4000.0,98,2
7,10,2500.0,47,1
4,14,3500.0,86,1
2,9,2250.0,75,1
4,6,1500.0,35,1
4,9,2250.0,55,1
4,6,1500.0,35,2
2,6,1500.0,45,1
2,6,1500.0,47,1
4,2,500.0,9,1
2,2,500.0,11,2
2,2,500.0,11,1
2,2,500.0,11,2
4,6,1500.0,38,2
3,4,1000.0,29,2
9,9,2250.0,38,1
11,5,1250.0,18,1
2,3,750.0,21,1
2,1,250.0,2,1
2,1,250.0,2,2
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,2
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
2,1,250.0,2,1
11,11,2750.0,38,1
2,3,750.0,22,1
9,11,2750.0,49,2
5,11,2750.0,75,1
3,5,1250.0,38,1
3,1,250.0,3,2
4,6,1500.0,43,1
2,3,750.0,24,1
12,11,2750.0,39,1
2,2,500.0,14,1
4,6,1500.0,46,1
9,3,750.0,14,1
14,8,2000.0,26,1
4,2,500.0,13,1
4,11,2750.0,95,1
2,7,1750.0,77,1
2,7,1750.0,77,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,2
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,1
4,1,250.0,4,2
4,1,250.0,4,1
4,7,1750.0,62,1
4,1,250.0,4,1
4,4,1000.0,34,2
11,6,1500.0,28,1
13,3,750.0,14,2
7,5,1250.0,35,1
9,9,2250.0,54,1
11,2,500.0,11,1
2,5,1250.0,63,1
7,11,2750.0,89,1
8,9,2250.0,64,1
2,2,500.0,22,1
6,3,750.0,26,1
12,15,3750.0,71,1
13,3,750.0,16,1
11,16,4000.0,89,1
4,5,1250.0,58,1
14,7,1750.0,35,1
11,4,1000.0,27,1
7,9,2250.0,89,2
11,8,2000.0,52,2
7,5,1250.0,52,1
11,6,1500.0,41,1
10,5,1250.0,38,1
14,2,500.0,14,2
14,2,500.0,14,1
14,2,500.0,14,1
2,2,500.0,33,1
11,3,750.0,23,1
14,8,2000.0,46,1
9,1,250.0,9,1
16,5,1250.0,27,1
14,4,1000.0,26,1
4,2,500.0,30,1
14,3,750.0,21,1
16,16,4000.0,77,1
4,2,500.0,31,1
14,8,2000.0,50,1
11,3,750.0,26,1
14,7,1750.0,45,1
15,5,1250.0,33,1
16,2,500.0,16,1
16,3,750.0,21,1
11,8,2000.0,72,1
11,1,250.0,11,1
11,1,250.0,11,1
11,1,250.0,11,1
11,1,250.0,11,2
11,1,250.0,11,1
2,3,750.0,75,2
2,3,750.0,77,1
16,4,1000.0,28,1
16,15,3750.0,87,1
16,14,3500.0,83,1
16,10,2500.0,62,1
16,3,750.0,23,1
14,3,750.0,26,1
23,19,4750.0,62,1
11,7,1750.0,75,1
14,3,750.0,28,1
20,14,3500.0,69,2
4,2,500.0,46,1
11,2,500.0,25,1
11,3,750.0,37,1
16,4,1000.0,33,1
21,7,1750.0,38,1
13,7,1750.0,76,1
16,6,1500.0,50,1
14,3,750.0,33,1
14,1,250.0,14,1
14,1,250.0,14,1
14,1,250.0,14,1
14,1,250.0,14,1
14,1,250.0,14,1
14,1,250.0,14,1
17,7,1750.0,58,2
14,3,750.0,35,1
14,3,750.0,35,1
16,7,1750.0,64,1
21,2,500.0,21,1
16,3,750.0,35,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
16,1,250.0,16,1
14,2,500.0,29,1
11,4,1000.0,74,1
11,2,500.0,38,2
21,6,1500.0,48,1
23,2,500.0,23,1
23,6,1500.0,45,1
14,2,500.0,35,2
16,6,1500.0,81,1
16,4,1000.0,58,1
16,5,1250.0,71,1
21,2,500.0,26,1
21,3,750.0,35,1
21,3,750.0,35,1
23,8,2000.0,69,1
21,3,750.0,38,1
23,3,750.0,35,1
21,3,750.0,40,1
23,2,500.0,28,1
21,1,250.0,21,1
21,1,250.0,21,1
25,6,1500.0,50,1
21,1,250.0,21,1
21,1,250.0,21,1
23,3,750.0,39,1
21,2,500.0,33,1
14,3,750.0,79,1
23,1,250.0,23,2
23,1,250.0,23,1
23,1,250.0,23,1
23,1,250.0,23,1
23,1,250.0,23,1
23,1,250.0,23,1
23,1,250.0,23,1
23,4,1000.0,52,1
23,1,250.0,23,1
23,7,1750.0,88,1
16,3,750.0,86,1
23,2,500.0,38,1
21,2,500.0,52,1
23,3,750.0,62,1
39,1,250.0,39,1
72,1,250.0,72,1
