0,1,2,3,4,5,6,7,8,9,10,11,12,13
4534,33,28,29,430,1,215,2,0,1,0,0,0,0
4545,5,15,157,284,1,23,0,0,0,0,0,0,0
4557,8,42,77,93,1,115,0,284,0,0,0,0,0
4568,26,20,111,51,2,144,1,0,0,1,0,1,0
4579,24,17,24,253,0,148,0,13,0,1,0,0,0
4590,19,13,97,33,0,189,0,0,0,0,0,0,0
4601,19,12,106,325,3,1,1,0,0,0,0,1,0
4612,24,19,6,7,1,231,0,0,0,0,0,0,0
4623,36,32,29,101,0,164,0,0,0,0,0,1,1
4634,39,33,6,434,1,163,0,224,0,0,0,0,0
4645,30,19,117,403,3,191,2,33,0,1,0,0,0
4656,24,17,128,253,2,221,0,0,0,0,0,1,1
4668,30,25,88,20,3,23,0,0,0,0,0,1,0
4679,19,13,15,96,0,114,0,0,0,0,0,0,1
4690,30,25,135,264,3,189,1,0,0,0,0,1,0
4701,21,16,28,134,0,194,0,0,0,0,0,0,1
4712,18,11,150,350,0,193,2,0,0,0,0,1,1
4723,5,26,33,355,1,231,0,0,0,0,0,0,1
4734,8,44,33,371,3,164,1,0,1,0,1,1,1
4745,35,29,18,93,2,35,2,0,0,0,0,0,0
4756,23,16,103,174,2,44,1,0,0,0,0,0,0
4767,31,27,31,249,1,126,2,0,1,0,0,0,0
4779,27,22,79,367,1,41,0,19,0,0,0,1,0
4790,37,33,113,408,3,218,0,75,0,0,0,1,1
4801,24,18,112,356,2,145,1,0,0,0,0,1,0
4812,18,11,147,185,0,193,2,0,0,0,0,1,0
4823,10,46,120,316,0,98,1,0,0,0,0,0,0
4834,23,18,70,115,0,62,2,0,0,0,0,1,0
4845,4,15,8,271,3,162,2,0,0,0,0,0,0
4856,17,11,114,321,3,224,1,27,0,0,0,0,0
4867,25,18,142,316,2,213,0,0,0,0,0,1,0
4878,42,39,121,302,1,213,0,0,0,0,0,1,0
4890,2,0,13,314,3,78,2,0,0,0,0,0,1
4901,32,27,16,46,3,129,1,0,1,0,0,1,0
4912,12,5,103,292,3,213,2,0,0,0,0,1,0
4923,20,14,108,316,2,47,1,0,0,0,0,0,0
4934,37,31,132,334,1,144,2,137,0,1,0,1,0
4945,42,36,20,189,0,191,0,0,0,0,0,0,0
4956,15,7,118,431,3,23,2,0,0,0,0,1,0
4967,18,10,145,387,0,239,0,0,0,0,0,0,0
4978,31,24,55,159,0,173,0,0,0,0,0,1,0
4989,26,19,158,182,0,35,0,0,0,0,0,1,0
2,43,39,45,114,2,4,2,0,0,0,0,1,0
13,25,19,140,286,0,215,0,0,0,0,0,1,0
24,38,33,104,352,2,218,1,0,0,0,0,0,0
35,30,19,116,257,2,189,2,99,0,0,0,1,1
46,20,13,97,434,1,35,1,0,0,0,0,1,0
57,33,29,110,250,3,218,0,67,0,0,0,1,1
68,1,3,109,360,2,4,1,0,0,1,0,1,0
79,20,12,135,213,3,173,0,0,0,0,0,1,1
90,19,13,115,140,0,53,0,37,0,0,0,0,0
101,10,44,106,410,0,47,2,67,0,0,0,1,0
113,20,12,119,331,0,163,0,0,0,0,0,1,0
124,18,9,153,95,2,189,1,0,0,0,0,0,0
135,39,35,117,310,3,218,1,0,0,0,0,1,0
146,17,10,147,124,2,189,0,203,0,0,0,0,0
157,35,31,156,209,1,163,0,4,0,0,0,0,0
168,16,9,111,180,2,44,2,0,0,0,0,1,0
179,42,38,146,137,2,162,1,0,0,0,0,1,0
190,31,25,109,219,0,110,1,0,0,0,0,1,0
201,35,30,129,220,1,78,2,94,0,0,0,1,0
212,18,11,139,196,2,192,0,0,0,0,0,1,0
224,9,44,12,315,0,128,0,242,0,0,0,0,0
235,31,25,18,23,1,23,2,0,0,0,0,1,0
246,29,22,110,114,2,62,2,0,0,0,0,1,0
257,35,29,139,325,1,53,1,0,0,0,0,1,1
268,14,8,149,165,0,127,1,0,0,1,0,0,0
279,16,10,142,159,3,98,0,19,0,0,0,1,0
290,37,32,145,89,2,44,0,0,0,0,0,1,0
301,8,42,15,149,1,218,0,2,0,0,0,1,1
312,11,45,147,195,0,145,1,152,0,0,0,1,0
323,15,9,140,172,1,1,0,0,0,1,0,1,0
335,18,11,136,166,2,44,2,0,0,0,0,0,1
346,5,37,146,368,2,110,0,173,0,0,0,1,0
357,35,31,44,262,3,246,1,0,1,0,1,1,1
368,8,4,121,72,1,153,2,0,0,0,0,0,0
379,7,37,111,39,2,213,1,0,0,0,0,1,0
390,30,25,160,391,2,162,1,0,0,0,0,0,0
401,35,30,117,231,3,221,0,0,0,0,0,1,1
412,36,29,119,391,3,112,1,0,0,0,0,1,0
423,26,21,25,397,1,41,0,0,0,0,0,0,0
434,36,31,114,375,2,110,0,0,0,1,1,0,1
446,36,32,70,249,0,215,2,0,0,0,0,1,0
457,28,21,105,39,1,41,2,62,0,0,0,1,1
468,12,6,126,452,2,191,0,50,0,0,0,1,1
479,10,46,118,122,0,221,2,0,0,0,0,0,1
490,2,4,124,302,3,125,0,0,0,0,0,1,1
501,26,19,136,148,1,110,1,0,0,0,0,0,0
512,36,32,23,1,0,103,0,0,0,0,0,0,1
523,23,14,149,290,0,137,1,0,0,0,0,1,1
534,27,21,148,331,3,127,2,89,0,0,0,1,0
545,29,24,57,107,1,41,0,17,0,0,0,1,0
557,25,18,114,269,2,224,1,0,0,0,0,0,0
568,23,18,16,293,1,118,0,0,0,0,1,1,1
579,3,3,30,221,2,117,2,0,1,0,0,0,1
590,34,29,100,246,0,218,0,0,0,0,0,1,1
601,37,33,97,335,1,189,0,0,0,1,1,1,1
612,31,25,126,189,3,218,2,0,0,0,0,0,0
623,1,3,128,347,3,125,0,0,0,0,0,1,0
634,3,3,45,166,3,41,0,0,0,0,0,0,1
645,18,12,148,277,3,137,0,0,0,0,0,1,1
656,9,43,143,367,1,110,2,0,0,0,0,1,1
668,38,32,113,332,3,144,1,0,0,1,0,1,0
679,6,3,32,445,3,117,2,0,1,0,0,0,0
690,38,32,145,396,1,163,0,0,0,0,0,1,0
701,15,7,122,16,0,191,0,0,0,0,0,0,0
712,5,37,136,85,3,126,0,0,0,0,0,1,0
723,30,23,156,402,1,213,0,0,0,1,0,0,0
734,4,4,115,362,0,110,0,0,0,0,0,1,0
745,2,4,95,450,2,189,1,0,0,0,0,0,0
756,10,46,99,316,2,62,2,0,0,0,0,1,1
767,27,22,27,93,3,189,0,0,0,0,0,1,0
779,4,4,12,54,3,221,2,0,0,0,0,0,1
790,4,4,34,40,1,191,0,0,0,0,0,1,0
801,29,24,9,443,2,41,0,0,0,1,0,0,0
812,15,8,63,213,1,168,0,0,0,0,0,1,0
823,35,31,114,34,3,110,0,0,0,0,0,1,1
834,19,12,60,426,1,178,1,0,1,0,0,1,0
845,22,16,150,114,3,213,1,0,0,1,0,1,0
856,29,21,116,245,2,189,1,36,0,0,0,1,0
867,6,26,133,309,3,162,1,145,0,0,0,0,0
878,30,25,100,444,3,23,0,0,0,0,0,1,1
890,39,34,9,132,0,4,0,0,0,0,0,1,0
901,28,23,110,50,1,189,2,65,0,0,0,1,0
912,13,7,0,256,3,53,1,328,0,0,0,0,0
923,1,3,33,407,0,110,0,0,0,0,0,1,0
934,6,26,43,170,2,234,0,0,1,0,0,1,0
945,29,22,131,213,1,110,1,0,0,1,0,1,0
956,16,9,15,93,0,189,2,0,0,0,0,1,0
967,25,19,117,430,0,35,0,0,0,0,0,1,1
978,23,17,53,316,2,172,2,209,1,0,0,1,0
989,41,38,61,93,1,221,0,23,0,0,0,1,0
1001,32,25,12,281,1,97,0,0,0,0,0,1,0
1012,37,33,157,187,0,237,0,0,0,0,0,1,0
1023,28,21,103,51,0,35,2,41,0,0,0,0,0
1034,27,19,150,160,0,137,1,0,0,0,0,1,0
1045,25,20,95,247,3,47,0,0,0,0,0,1,1
1056,30,25,41,208,1,167,0,0,0,0,0,1,0
1067,11,5,27,342,3,189,0,342,0,1,0,1,0
1078,25,20,59,253,0,194,0,0,0,0,0,0,1
1089,32,28,153,99,3,53,0,336,0,0,0,1,0
1100,4,26,127,305,3,1,0,337,0,1,0,1,0
1113,13,6,52,167,0,238,2,0,1,0,1,1,1
1124,9,43,103,100,0,172,2,0,0,0,0,1,1
1135,12,46,88,353,1,97,2,0,0,0,0,1,1
1146,7,26,134,317,3,191,1,0,0,0,0,1,0
1157,35,31,133,437,3,224,0,0,0,0,0,1,0
1168,33,28,129,465,1,172,1,6,0,0,0,0,0
1179,15,7,155,430,3,97,1,1,0,0,0,0,1
1190,26,21,105,100,0,189,0,0,0,1,0,1,0
1201,11,5,137,300,3,4,1,0,0,0,0,0,0
1212,17,11,139,296,3,137,0,0,0,0,0,1,1
1224,41,36,64,363,3,227,0,178,1,0,1,1,1
1235,28,22,88,166,1,1,0,0,0,0,0,0,0
1246,21,13,125,367,0,23,0,0,0,0,0,0,0
1257,23,18,135,108,1,144,0,110,0,0,0,0,0
1268,34,30,51,94,0,103,0,0,0,0,0,1,0
1279,31,24,158,48,0,172,1,0,0,0,0,0,0
1290,15,9,156,444,1,1,0,150,0,0,0,1,1
1301,4,26,24,428,1,47,0,0,0,0,0,0,0
1312,16,9,140,316,2,192,0,0,0,0,0,0,0
1323,21,16,138,217,2,35,2,0,0,0,0,1,0
1335,33,27,129,363,0,224,2,0,0,0,0,1,1
1346,9,43,101,165,1,35,0,0,0,0,0,0,1
1357,22,14,148,395,1,144,1,0,0,0,0,1,0
1368,3,15,5,317,2,112,0,0,0,0,0,0,0
1379,32,21,113,387,2,189,2,0,0,0,0,1,0
1390,29,23,126,316,3,162,2,338,0,0,0,0,0
1401,16,8,157,367,0,110,2,0,0,0,0,0,1
1412,1,0,111,287,1,144,1,0,0,0,0,0,0
1423,24,19,43,335,1,118,0,0,0,0,1,1,1
1434,24,18,123,204,3,172,2,345,0,1,1,0,1
1446,25,20,137,246,1,144,0,46,0,0,0,0,1
1457,24,18,156,367,0,163,1,0,0,0,0,1,0
1468,12,5,129,315,3,221,2,0,0,0,0,1,0
1479,23,14,110,304,2,112,1,36,0,0,0,0,0
1490,39,34,126,93,3,144,0,0,0,0,0,1,0
1501,3,4,145,430,0,59,1,51,0,0,0,0,0
1512,15,45,137,367,3,162,2,0,0,0,0,1,0
1523,20,13,152,253,2,44,2,0,0,0,0,1,1
1534,39,35,148,187,0,162,2,0,0,0,0,1,0
1545,34,29,102,452,2,23,0,0,0,0,0,1,1
1557,5,26,122,298,3,144,1,0,0,0,0,0,0
1568,28,22,136,33,0,215,0,70,0,0,0,0,0
1579,25,18,137,114,0,97,2,0,0,0,0,0,1
1590,18,11,141,271,0,146,2,176,0,0,0,0,0
1601,42,36,62,34,2,178,2,346,1,0,1,1,0
1612,18,12,142,277,3,59,0,325,0,0,0,1,0
1623,12,6,101,190,1,189,1,0,0,0,0,0,0
1634,15,9,128,277,1,47,2,0,0,0,0,1,1
1645,30,25,19,192,3,145,1,12,1,1,1,1,0
1656,32,25,161,159,1,97,0,163,0,0,0,1,1
1668,3,4,125,33,2,126,2,14,0,0,0,0,1
1679,7,43,103,316,2,189,1,18,0,0,0,0,0
1690,31,24,62,172,1,244,1,215,1,0,0,1,0
1701,42,38,123,114,2,224,0,0,0,0,0,0,1
1712,24,17,34,343,0,1,0,0,0,0,0,0,0
1723,42,39,32,132,2,174,2,22,1,0,0,1,0
1734,43,38,114,151,1,53,2,39,0,0,0,0,1
1745,3,3,161,208,3,78,2,0,0,0,0,0,1
1756,43,39,70,205,2,44,0,0,0,0,0,0,1
1767,12,46,100,437,3,35,0,0,0,0,0,1,0
1779,33,27,125,293,0,97,0,324,0,0,0,1,0
1790,28,23,126,184,0,1,0,0,0,0,0,0,1
1801,19,11,11,241,1,215,2,152,1,0,0,1,0
1812,26,19,107,39,0,35,2,0,0,0,1,1,1
1823,4,4,140,159,3,162,1,13,0,0,0,1,1
1834,22,14,110,72,1,53,0,0,0,0,0,0,0
1845,26,19,99,316,3,47,2,345,0,1,0,0,0
1856,40,35,129,367,1,110,0,0,0,0,0,1,0
1867,24,18,146,55,0,173,0,39,0,0,0,0,0
1878,41,36,26,270,0,112,0,0,0,0,0,1,0
1890,20,8,107,393,0,56,2,0,0,0,0,0,0
1901,37,33,131,283,3,224,0,0,0,0,0,1,0
1912,17,9,136,374,3,97,1,0,0,0,0,1,0
1923,6,26,117,389,3,23,0,59,0,0,0,1,1
1934,18,11,133,34,2,44,2,0,0,0,0,1,0
1945,7,42,140,430,3,224,0,0,0,1,0,0,1
1956,26,20,120,362,3,162,2,0,0,1,0,0,0
1967,7,42,97,24,3,44,2,10,0,0,0,1,0
1978,6,15,104,163,3,189,2,0,0,0,0,0,0
1989,27,22,95,85,3,189,0,0,0,0,0,1,0
2001,16,9,51,342,1,174,0,0,0,0,0,1,0
2012,10,45,132,159,3,221,2,65,0,0,0,1,0
2023,34,28,133,303,3,126,2,0,0,0,0,0,1
2034,11,46,137,114,3,53,2,0,0,0,0,1,0
2045,38,33,112,11,2,44,1,0,0,1,0,1,0
2056,21,14,135,216,2,44,2,0,0,0,0,1,0
2067,17,8,135,316,2,82,1,0,0,0,0,0,0
2078,28,21,117,370,2,47,1,32,0,0,0,1,0
2089,14,7,130,155,2,53,1,0,0,0,0,0,1
2100,21,14,64,317,1,237,2,254,1,1,1,1,0
2112,19,10,100,159,2,189,1,0,0,0,0,1,1
2123,28,21,145,181,0,175,0,0,0,0,0,0,0
2134,20,11,144,33,2,50,1,335,0,0,0,1,0
2145,7,42,110,331,3,59,0,30,0,0,0,1,1
2156,22,14,157,34,3,126,2,0,0,0,0,0,0
2167,12,46,125,328,0,191,0,0,0,0,0,1,0
2178,37,31,132,315,1,144,2,0,0,0,0,0,1
2189,11,46,21,59,0,1,0,0,0,0,0,1,0
2200,32,21,136,262,2,97,2,0,0,0,0,1,0
2211,20,14,146,146,1,229,0,0,0,0,0,0,0
2224,18,10,53,23,0,116,2,0,1,0,1,1,0
2235,11,46,136,223,3,218,0,0,0,1,0,0,0
2246,42,36,46,158,1,177,0,97,0,0,0,0,0
2257,22,17,48,334,1,118,0,0,0,0,0,1,0
2268,26,21,85,429,3,192,0,320,1,0,0,0,0
2279,25,19,97,67,0,4,0,0,0,0,0,0,0
2290,37,32,97,88,0,218,0,24,0,0,0,1,0
2301,32,25,143,181,2,59,0,0,0,0,0,1,1
2312,19,13,107,50,0,97,2,0,0,0,0,1,0
2323,9,45,25,367,1,84,0,0,0,0,1,1,1
2335,39,35,155,456,0,164,0,0,0,1,0,1,0
2346,34,29,111,46,3,62,0,0,0,0,0,1,1
2357,29,22,20,334,0,248,0,68,0,0,0,1,0
2368,13,43,95,116,0,50,2,0,0,1,0,1,0
2379,11,46,113,262,2,78,0,0,0,0,0,0,1
2390,40,34,117,254,1,53,2,0,0,0,0,1,0
2401,1,1,121,60,2,35,2,0,0,0,0,1,0
2412,34,28,59,397,0,125,1,0,1,0,0,1,0
2423,17,11,17,96,1,235,1,0,1,0,0,1,0
2434,4,15,10,434,3,162,2,91,0,0,0,1,0
2446,42,36,88,14,2,53,1,0,0,0,0,0,1
2457,37,31,132,42,0,59,1,149,0,0,0,0,0
2468,21,16,2,213,2,100,1,329,1,0,0,0,0
2479,40,36,2,134,0,174,0,0,1,1,1,1,0
2490,36,31,161,14,0,100,0,0,1,0,0,0,0
2501,33,27,52,33,3,242,0,0,1,0,0,0,0
2512,31,24,152,393,0,172,1,0,0,0,0,1,1
2523,29,23,145,430,0,218,2,0,0,0,1,1,1
2534,35,29,14,95,1,191,0,261,0,0,0,1,0
2545,37,32,119,296,2,44,1,0,0,0,0,1,1
2557,5,37,81,26,0,86,0,0,0,0,0,1,0
2568,31,27,142,182,3,189,1,0,0,0,0,1,0
2579,9,43,102,300,2,189,0,0,0,0,0,0,0
2590,36,30,114,433,0,59,1,0,0,0,0,1,0
2601,40,35,37,184,0,112,0,0,0,0,0,0,0
2612,25,19,117,396,0,218,1,0,0,0,0,1,0
2623,33,29,21,450,1,35,0,239,0,0,1,1,1
2634,13,7,133,395,2,126,1,0,0,0,0,1,0
2645,34,23,134,302,0,97,2,0,0,0,0,1,0
2656,6,26,49,260,1,191,0,255,0,0,0,0,0
2668,16,8,152,155,3,97,1,0,0,0,0,0,0
2679,36,31,155,256,0,126,0,0,0,0,0,1,1
2690,8,43,125,141,3,191,1,86,0,0,0,1,0
2701,20,14,16,91,1,231,0,0,0,0,0,0,1
2712,12,42,97,253,0,50,2,4,0,0,0,0,0
2723,31,20,131,188,2,97,2,39,0,0,0,1,1
2734,28,23,18,173,3,44,1,325,0,1,0,1,0
2745,21,14,120,68,2,145,1,0,0,0,0,1,0
2756,2,3,115,316,1,125,2,0,0,1,1,1,1
2767,17,10,65,398,3,130,0,0,1,0,1,1,1
2779,3,15,128,253,1,192,0,33,1,0,0,0,0
2790,16,9,13,312,0,189,2,0,0,1,0,1,0
2801,5,37,51,172,3,241,1,0,1,0,0,1,0
2812,29,24,155,206,3,189,1,0,0,0,0,0,1
2823,30,25,125,444,3,213,1,0,0,0,0,1,0
2834,21,16,65,46,1,97,0,270,0,0,0,1,0
2845,20,14,137,150,2,35,2,0,0,0,0,0,1
2856,33,27,100,360,1,41,2,335,0,0,0,0,0
2867,15,9,114,354,0,191,1,328,0,0,0,1,0
2878,7,43,38,330,1,84,0,0,0,0,0,1,0
2890,9,43,106,241,0,172,2,0,0,0,0,1,0
2901,12,5,125,330,3,218,0,0,0,0,0,0,0
2912,20,14,49,41,1,118,0,0,0,0,0,1,0
2923,35,29,13,345,1,97,0,168,0,0,0,0,1
2934,2,3,104,205,1,144,1,0,0,0,0,0,0
2945,31,20,103,138,2,189,2,49,0,0,0,0,1
2956,34,29,66,33,0,167,1,288,1,0,0,1,0
2967,27,20,109,213,0,35,2,0,0,0,0,1,0
2978,9,45,160,397,1,191,1,76,0,0,0,1,0
2989,40,34,104,142,1,189,2,60,0,0,0,1,0
3001,8,43,126,395,1,112,0,0,0,0,0,0,1
3012,13,7,101,150,3,189,0,48,0,0,0,0,0
3023,35,31,79,139,3,53,0,0,0,0,0,0,0
3034,33,27,116,240,3,53,1,75,0,0,0,1,0
3045,26,21,88,48,3,189,0,12,0,0,0,1,1
3056,7,42,160,131,1,227,0,121,0,0,0,1,0
3067,10,44,154,178,2,125,0,0,0,0,0,1,0
3078,22,17,129,315,2,53,0,0,0,0,0,0,0
3089,7,42,112,319,3,191,1,0,0,0,0,1,0
3100,24,19,110,357,1,221,2,0,0,0,0,0,0
3112,2,3,102,148,1,144,1,0,0,0,0,0,0
3123,40,30,108,316,0,110,2,0,0,0,0,1,1
3134,32,25,139,430,1,78,2,0,0,0,0,1,1
3145,42,39,31,372,3,191,0,0,1,0,0,0,1
3156,21,13,123,352,0,23,0,0,0,0,0,1,0
3167,28,21,95,238,3,47,2,0,0,0,0,1,1
3178,12,46,112,267,2,62,0,0,0,0,0,1,0
3189,7,42,113,395,3,144,1,0,0,0,0,1,0
3200,8,42,147,425,3,162,1,0,0,0,0,1,0
3211,31,27,1,441,3,99,2,0,1,0,0,0,0
3223,22,16,51,7,0,196,0,0,0,0,0,1,1
3234,22,14,117,187,0,23,0,0,0,0,0,1,0
3245,35,29,153,286,2,35,2,0,0,0,0,0,1
3256,31,25,118,112,3,162,2,0,0,0,0,1,0
3267,30,24,70,34,3,4,2,10,0,1,1,1,1
3278,10,46,145,92,3,99,0,0,0,0,0,1,1
3289,37,32,132,323,1,163,0,0,0,0,0,0,0
3300,27,20,103,234,3,4,0,0,0,0,0,0,0
3311,3,15,118,54,2,53,1,0,0,0,0,1,0
3322,31,27,99,352,1,41,0,0,0,0,0,0,0
3335,5,26,149,7,3,23,0,0,0,0,0,1,1
3346,13,5,69,331,2,130,0,0,1,0,0,1,0
3357,6,15,104,437,3,110,1,13,0,0,0,0,1
3368,31,24,157,108,0,175,0,34,0,0,1,1,1
3379,32,27,111,196,1,172,1,0,0,0,0,0,0
3390,38,33,128,224,2,44,1,83,0,0,0,0,0
3401,13,6,31,39,0,164,0,185,0,1,1,1,1
3412,22,14,24,180,0,98,0,0,0,0,0,0,0
3423,41,38,126,254,0,162,2,0,0,0,0,1,0
3434,37,33,152,117,1,163,0,0,0,0,0,1,0
3446,26,18,147,6,0,137,1,26,0,0,0,1,0
3457,24,19,10,297,1,231,0,0,0,0,0,1,1
3468,37,33,124,172,3,78,2,0,0,1,0,0,0
3479,22,16,152,250,3,172,2,0,0,0,0,1,0
3490,9,44,114,184,2,78,0,0,0,0,0,1,0
3501,29,24,113,318,2,172,1,0,0,0,0,0,1
3512,12,45,110,241,3,189,1,25,0,0,0,1,0
3523,17,10,150,315,1,41,0,0,0,0,0,1,0
3534,30,25,148,31,3,189,1,0,0,0,0,1,0
3545,4,3,107,33,3,189,2,0,0,0,0,0,0
3557,35,30,120,321,3,221,0,0,0,0,0,0,1
3568,24,18,126,240,3,127,2,0,0,0,0,1,1
3579,5,26,15,177,3,227,1,0,1,0,0,0,0
3590,23,16,42,105,1,245,0,0,0,1,1,1,0
3601,20,14,55,430,1,118,0,0,0,0,0,0,0
3612,33,27,110,139,0,23,0,0,0,0,0,0,0
3623,5,26,102,56,3,59,0,0,0,0,0,1,0
3634,19,13,141,172,2,82,0,0,0,0,0,0,1
3645,9,44,109,187,2,218,0,17,0,0,0,0,1
3656,39,35,100,367,1,189,0,17,0,0,0,0,1
3668,14,8,142,381,3,4,1,0,0,0,0,1,0
3679,28,22,13,288,0,218,2,62,0,0,0,1,0
3690,16,8,141,316,2,221,0,125,0,0,0,1,0
3701,20,12,155,92,0,148,0,0,0,0,0,1,0
3712,29,24,105,95,3,23,0,42,0,0,0,1,1
3723,7,43,117,445,0,162,1,0,0,0,0,1,0
3734,29,22,145,365,2,59,0,0,0,0,0,0,0
3745,38,32,120,160,2,97,2,13,0,0,0,1,0
3756,13,46,105,449,3,189,1,0,0,1,0,1,0
3767,35,29,13,267,1,164,1,20,1,0,1,1,1
3779,24,19,103,315,3,47,0,0,0,0,0,1,0
3790,41,36,127,192,1,110,0,40,0,0,0,1,0
3801,29,23,115,257,0,218,1,0,0,1,0,1,0
3812,35,24,21,410,0,192,2,16,1,0,0,1,0
3823,25,20,103,57,0,189,0,0,0,0,0,0,0
3834,41,38,155,241,1,1,2,0,0,0,0,1,1
3845,35,29,133,345,2,224,2,0,0,0,0,1,0
3856,24,19,97,243,0,189,0,0,0,0,0,0,1
3867,26,19,137,408,0,97,2,0,0,0,0,0,0
3878,8,37,128,344,3,191,1,0,0,0,0,1,1
3890,38,34,128,111,2,191,2,0,0,0,0,1,0
3901,28,21,135,437,0,35,0,0,0,0,0,1,1
3912,5,1,118,309,1,153,2,336,0,0,0,1,0
3923,16,8,95,275,2,23,1,0,0,0,0,0,0
3934,31,24,123,154,3,163,1,0,0,1,0,0,0
3945,27,20,103,296,2,62,2,0,0,0,0,0,0
3956,7,37,128,82,3,224,1,0,0,0,0,1,0
3967,41,36,114,145,2,44,1,17,0,0,0,1,0
3978,6,26,135,314,2,35,2,0,0,0,0,0,0
3989,25,20,88,454,0,189,0,0,0,0,0,1,1
4001,12,5,89,82,1,192,0,285,0,0,0,0,0
4012,37,33,38,46,1,221,0,0,0,0,0,1,1
4023,32,27,146,161,1,146,0,0,0,1,0,0,0
4034,6,37,74,107,2,253,2,0,1,0,0,1,0
4045,25,18,44,375,1,116,1,0,1,1,1,1,0
4056,20,14,148,316,3,127,2,0,1,0,0,0,1
4067,43,40,109,316,0,172,1,73,0,0,0,1,0
4078,2,3,27,97,1,62,2,0,0,0,0,1,0
4089,22,16,111,38,0,98,0,0,0,0,0,0,1
4100,11,5,95,194,0,44,2,0,0,0,0,1,0
4112,25,19,0,353,1,53,2,0,0,0,0,1,1
4123,9,43,149,73,3,162,1,0,0,0,0,0,0
4134,27,20,104,121,3,4,0,62,0,0,0,1,1
4145,20,14,105,1,3,35,0,57,0,0,0,1,0
4156,41,36,73,269,0,215,1,305,1,0,0,1,0
4167,37,31,14,10,1,177,0,0,0,0,0,1,0
4178,20,14,48,135,2,242,1,0,1,0,0,0,0
4189,37,31,123,213,0,59,1,0,0,1,0,0,1
4200,41,36,100,401,3,41,1,325,0,0,0,1,0
4211,21,16,46,398,1,231,0,0,0,0,0,0,1
4223,37,33,30,168,1,195,0,290,0,0,0,1,1
4234,31,25,134,381,2,125,2,0,0,0,0,1,1
4245,10,46,123,283,0,215,0,0,0,0,0,0,1
4256,33,29,65,275,0,128,1,335,1,0,1,1,0
4267,6,42,104,34,2,189,1,0,0,0,0,0,0
