sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),categorical_feature,Category
5.894106597644063,2.9533614579440766,4.87935835363299,1.462656511578456,medium,0.9878389865450219
4.449679422005762,4.374199239118393,1.0,0.15078796306254494,low,0.16584343613319733
5.274738457938577,3.524641255571601,5.349173848811264,0.389263412688208,medium,1.016370634213033
7.1442215885816704,2.6926948384903557,4.895549352850696,1.5204184882312362,high,1.0670322522911375
4.935484488880536,2.0943551875011015,4.170541994064821,0.8565197273731504,medium,0.935180153205103
5.502360255628825,2.37868253987955,3.6233302024041465,1.339323163149953,low,1.0066547319955572
5.884280659974642,3.133658108451812,4.742046407089167,1.99858874931165,medium,0.9358748384036981
6.450091516557531,3.07581425049679,5.578641722173113,2.4360932446201513,medium,2.0
5.7447160527146535,3.5318407729810146,5.289050183042099,1.9796884401053745,high,1.9548421765351751
5.1047730771841655,2.386151903229132,4.122372180536191,1.2780499763698259,medium,0.9576834725974126
4.696567392679207,2.984104647072599,1.755758862705321,0.204260254463562,low,0.0
6.640459978708204,2.565940533164268,5.412595956174411,1.536974653683882,high,1.9657521123967807
6.590491278372791,4.060016453964673,1.863455858126054,0.6061448250094743,medium,0.014373629118888478
5.64933911240559,2.9930162279356387,5.569259285336435,1.6111795773210664,medium,0.9900320291207513
6.241451551329965,3.012909814762177,3.766772916359452,0.958130133339351,low,1.0866934375202137
4.543459830100181,3.094802159222075,1.173337525581921,1.1403872709764784,low,1.0183356525235452
4.8556493622455825,3.630662451146792,1.4216753065920544,0.11174268638378171,low,0.0
5.81480166429606,2.435035766941609,4.449860819240859,1.4149752914347502,low,1.1423189920857437
4.993617684765639,2.8980918001606324,1.5967217413151267,0.2744675795883079,low,0.0
5.505546481799275,2.121297126558014,3.2891867171478397,1.278006377523,low,0.937971957148022
5.177796180216184,3.8497585330623747,1.1902195184595388,0.3396573973394224,low,0.006839875307113493
6.106676860790737,2.404304521201863,4.317649297407518,1.200786049949128,medium,1.0578304070778115
6.874411607447996,2.903469604210086,5.4248289860704775,1.7036380547290102,medium,1.9625401721209073
6.378951091963543,3.24938148124241,4.455533952095309,1.637470988877049,medium,1.0358837254575344
5.757679996950964,3.1100312595608672,1.3704454981434906,0.19754851965460132,low,0.0
6.64731382512774,2.8097740391709074,4.041741779284256,1.5705846923482423,medium,1.03513807674198
5.449138060382316,3.0046452763168743,1.7050699571105348,0.41024208006129265,low,0.004756727824703325
5.502272244534452,3.141978278295617,5.117565947988561,1.764941039282148,medium,0.9206708848946825
7.1917537717912765,2.576605766066853,5.550399060675211,2.153649354968399,high,1.9935826267038
4.962655062347731,2.407416467121231,4.451791225082597,1.1841488031878167,low,0.9657128458933353
5.633829145641476,2.8866653095202977,3.773337781689383,1.4996511002310704,medium,0.9785218457428696
5.005468865532427,2.520214949321368,5.024794455266757,1.6992041068974344,medium,1.0311266390182248
6.41804865269414,3.328733182987477,5.665607142689488,1.9923211275580328,medium,1.8658384618300983
5.253958925867469,2.665651114035344,3.8811447200254032,1.472210331065594,medium,0.9771685076763644
4.3,4.03524714529108,2.0746091451471376,0.271578183251664,low,0.0
5.644850583952441,2.952277222181713,1.7699451175571965,0.34581676850135296,low,0.04465349507954059
6.509421455694814,3.1223358292104213,5.374700813805246,1.9809307719943405,high,0.9489874440372221
5.906381080933368,2.6924570904075242,5.8478542961451,2.142562074122301,medium,2.0
6.024759032214783,3.1216904596668935,5.034048921040771,1.6481467467948314,medium,1.0288876355942969
6.109927174474144,4.211001149205166,1.7027896520242372,0.3048623404557192,high,1.901674459864843
6.556154906637951,3.1754915338397813,4.425649948803099,1.5828514618414107,medium,0.9844326000607515
6.052782166619396,3.466150375193354,5.743902247694363,2.2845609566718332,medium,1.9633826057188581
5.3501795282572235,2.9348884479036763,1.950655684663222,0.39635078557451825,low,0.0
5.630015216531484,2.2905563796378976,4.037349210196863,0.8063962137936614,medium,0.9487544957969104
5.57693753381265,2.645993495780028,4.34803163507316,1.521075450710928,low,0.0
5.26889194867898,2.6259115406515985,5.534418084554466,1.9577920432380735,medium,1.9839531931850682
4.891126566675719,3.1129202266772746,1.4379694791381346,0.1,low,0.9250851123999915
5.6244344775227155,2.7215311642951856,5.162423970784908,1.6036117696031869,medium,1.055737998711489
6.562804430920083,3.347982646595097,5.768982167109439,1.514781481452754,high,2.0
7.078676817261219,3.36675832023545,6.013124457134598,2.4728122561492123,medium,2.0
